,tmdb_id,name
0,3266,GagaOOLala
1,1923,KBS Joy
2,2974,Lifetime
3,1671,LINE TV
4,3869,U-NEXT
5,1260,Sohu
6,2433,V LIVE
7,3897,TVING
8,2007,Tencent Video
9,3533,CGNTV
10,5169,Coupang Play
11,247,YouTube
12,213,Netflix
13,3747,Rakuten TV
14,2772,KBS W
15,2036,UMAX
16,903,TV Chosun
17,3908,LG U+
18,5841,ENA
19,97,MBC
20,1943,Channel A
21,5208,Olleh TV
22,1244,Facebook
23,885,JTBC
24,156,SBS
25,1728,E Channel
26,1152,NAVER TV
27,809,Mnet
28,2487,JTBC4
29,5734,Daewon Broadcasting
30,3357,wavve
31,1595,Dramax
32,1081,Olive
33,5209,SkyLife
34,829,KBS1
35,2146,ViuTV
36,2980,Viu
37,2975,Animax Korea
38,1436,YouTube Premium
39,185,GTV
40,3732,WeTV
41,2739,Disney+
42,6111,W-STORY
43,1796,EBS 1
44,2748,Kakao TV
45,1234,MBC every1
46,2552,Apple TV+
47,932,SBS Plus
48,5265,vLive
49,6120,Cinema Heaven
50,3612,Seezn
51,1024,Amazon
52,1390,Viki
53,5244,Daekyo Kids TV
54,2459,KBS Drama
55,6072,NAVER NOW
56,3264,MBC ON
57,3898,watcha
58,1605,bilibili
59,6093,WHYNOT
60,3561,sky Drama
61,342,KBS2
62,5210,skyTV
63,1330,iQiyi
64,5163,AniOne
65,2440,MBC Drama
66,871,BR Fernsehen
67,1183,DRAMAcube
68,3240,SNS
69,5338,Kocowa
70,5147,iHQ
71,627,OCN
72,2586,oksusu
73,2498,Tooniverse
74,929,MBN
75,2745,Daum tvPot
76,934,OCN movies
