,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
0,3686810,Kim Hyo Myung,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/ezzJi0RWmhCsawjpeET8y17PRXf.jpg,1988-03-18,1988.0,3.0,4.0
1,3226942,Lee Chan-hyung,,,2.0,Acting,0.84,https://image.tmdb.org/t/p/original/k9UO9pD7B0XBorJFwptQoPU3SXZ.jpg,1997-11-03,1997.0,11.0,0.0
2,1347525,Park Seo-jun,"Seoul, South Korea",,2.0,Acting,8.152,https://image.tmdb.org/t/p/original/jqkXsFYFL7ph4CMJoBJABdF3RrC.jpg,1988-12-16,1988.0,12.0,4.0
3,2318275,Yun Seul,"Busan, South Korea",,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/xcOQakQQJO4cnc4LQzxxWvrdVok.jpg,1992-06-29,1992.0,6.0,0.0
4,1042230,Park Ye-eun,"Goyang, Gyeonggi, South Korea",,1.0,Acting,0.727,https://image.tmdb.org/t/p/original/jTostNmY38auCNcz6oE2pFn7KaT.jpg,1989-05-26,1989.0,5.0,4.0
5,1255878,Lee Jong-hyun,"Busan, South Korea",,2.0,Acting,2.961,https://image.tmdb.org/t/p/original/cmKNriKxtG77vh6G3is6lyLu7vv.jpg,1990-05-15,1990.0,5.0,1.0
6,2042979,Kim Gun-woo,,,2.0,Acting,2.379,https://image.tmdb.org/t/p/original/sdFpIuQwzmbelx7EFLet2XzmGhH.jpg,1992-01-10,1992.0,1.0,4.0
7,1707625,Kim Jong-Moon,,,,Acting,0.6,,,,,
8,3244274,Park Se Hyun,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/kK6pAZ7kS552oUGdzLjr0UlKP4H.jpg,,,,
9,1572347,Jeon Bae-soo,South Korea,,2.0,Acting,14.14,https://image.tmdb.org/t/p/original/3jH7s2IUz7sgRRYlrd0soBfA8PE.jpg,1970-06-02,1970.0,6.0,1.0
10,2304866,You Su-min,,,2.0,Directing,0.6,,,,,
11,3253127,Lee Kyu-hoe,,,2.0,Acting,0.84,https://image.tmdb.org/t/p/original/3x4cJa48SBmesYTsYe394TCUztD.jpg,1970-01-30,1970.0,1.0,4.0
12,1256488,Kwon Yu-ri,"Goyang, Gyeonggi, South Korea",,1.0,Acting,5.404,https://image.tmdb.org/t/p/original/jBqzGSBiao1TmTXCNuZtxmXOQQf.jpg,1989-12-05,1989.0,12.0,1.0
13,1252048,Heo Yoon Jung,,,,Acting,1.214,,1966-04-04,1966.0,4.0,0.0
14,3459596,Kang Yu-Chan,,,2.0,Acting,0.6,,,,,
15,1420826,Kim Jin-geun,"Seoul, South Korea",,2.0,Acting,2.332,https://image.tmdb.org/t/p/original/yrKxMYgFdWhDrLoCy6GqWzKeVFK.jpg,,,,
16,1539326,Solar,"Seoul, South Korea",,1.0,Acting,0.831,https://image.tmdb.org/t/p/original/k6zvgM33uEIkm48OyPHVqhGwhl5.jpg,1991-02-21,1991.0,2.0,3.0
17,150242,Lee Min-jung,"Seoul, South Korea",,1.0,Acting,6.614,https://image.tmdb.org/t/p/original/sAQKiuCtTv4vn5FqduNjsv89wQe.jpg,1982-02-16,1982.0,2.0,1.0
18,233437,Lee Chun-hee,"Cheongyang, North Chungcheong, South Korea",,2.0,Acting,4.686,https://image.tmdb.org/t/p/original/aalnH5v2XowkM2UgTyIkSiHPPkq.jpg,1979-02-19,1979.0,2.0,0.0
19,2154372,Han Ji-an,,,1.0,Acting,3.364,https://image.tmdb.org/t/p/original/mxNIYV5gpOaoDFN6x4PkIZsDvBG.jpg,1991-03-17,1991.0,3.0,6.0
20,1257557,Kang Han-byul,"Anyang, South Korea",,,Acting,0.828,,2002-06-03,2002.0,6.0,0.0
21,1364528,Lee Ha-nee," Seoul, South Korea",,1.0,Acting,5.915,https://image.tmdb.org/t/p/original/yayAwtzM4ucEzakcVL0MGchesoc.jpg,1983-03-02,1983.0,3.0,2.0
22,3080473,Kim Do Young,,,,Acting,0.6,https://image.tmdb.org/t/p/original/j5J8UCWoTi9ukGAbS7yo7SYzR4Q.jpg,2003-12-04,2003.0,12.0,3.0
23,3119646,Rho Sang-bo,,,2.0,Acting,0.692,https://image.tmdb.org/t/p/original/q5YeRsO6CPdf0KUFIR3lo8F5Mrk.jpg,1990-02-23,1990.0,2.0,4.0
24,1237912,Lee Yoo-jin,,,1.0,Acting,0.833,https://image.tmdb.org/t/p/original/wDEvp4wmEJdouP41KOciLeUVb4Q.jpg,1977-01-08,1977.0,1.0,5.0
25,140335,Kim You-jung,"Seoul, South Korea",,1.0,Acting,10.67,https://image.tmdb.org/t/p/original/dqlafA1MFlJnZJutyT7trs4RpC4.jpg,1999-09-22,1999.0,9.0,2.0
26,94000,Eun Won-jae,,,,Acting,1.581,,1994-07-21,1994.0,7.0,3.0
27,554024,Lee Kan-hie,South Korea,,1.0,Acting,2.401,https://image.tmdb.org/t/p/original/yOf5oxwW7A4Nmi46MxJ6vuedjld.jpg,1969-02-03,1969.0,2.0,0.0
28,3781954,Shin Yeon-woo,,,1.0,Acting,0.6,,,,,
29,2145619,Jung Ji Yoon,,,,Acting,0.6,,,,,
30,1671014,Son Seung-won,,,2.0,Acting,1.4,https://image.tmdb.org/t/p/original/cQJBHIJ4APsnKTRshqd5qrYgNxA.jpg,1990-06-29,1990.0,6.0,4.0
31,88876,Ryoo Seung-bum,"Seoul, South Korea",,2.0,Acting,3.74,https://image.tmdb.org/t/p/original/bf8EtXv3QUBehLdCLtn7FB50ahD.jpg,1980-08-09,1980.0,8.0,5.0
32,17125,Park Jeong-hak,Corea del Sud,,2.0,Acting,2.863,https://image.tmdb.org/t/p/original/kTwGBs0NhWIam4CjyTtOzjSLZqf.jpg,1964-11-14,1964.0,11.0,5.0
33,3288637,Cho Jun-young,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/4SOMTiE8VwonjJoKlvGfHcdSL5u.jpg,2002-12-26,2002.0,12.0,3.0
34,1145025,Hwang Shin-hye,"Incheon, South Korea",,1.0,Acting,2.327,https://image.tmdb.org/t/p/original/qNfBffDdgEqu9AdfLKaGp7gBoSM.jpg,1963-04-16,1963.0,4.0,1.0
35,3244275,Jung Joon Sung,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/7Il6Yes3n4JbiEu6RK5ZgHxPYBY.jpg,,,,
36,557133,Lee Da-wit,"Incheon, South Korea",,2.0,Acting,3.016,https://image.tmdb.org/t/p/original/qWGDFlr47d2AJLtJsOEmfmaC21l.jpg,1994-03-02,1994.0,3.0,2.0
37,2159121,Kim Min-ho,,,2.0,Acting,1.244,https://image.tmdb.org/t/p/original/upF3vmnr9UyhgTcKx5GtADIniKn.jpg,1990-01-09,1990.0,1.0,1.0
38,1827085,Choi Dae-Seong,,,2.0,Acting,0.662,,1976-02-02,1976.0,2.0,0.0
39,2528428,Kim Mi-su,,2022-01-05,1.0,Acting,0.982,https://image.tmdb.org/t/p/original/A4roF3VYQziTsP6DdE6nzuIrKZZ.jpg,1992-03-16,1992.0,3.0,0.0
40,1257584,Jung Ae-yeun,"Daejeon, South Korea",,1.0,Acting,2.846,https://image.tmdb.org/t/p/original/peRdBGQroCUmTksnW5dkOrwX2ZZ.jpg,1982-11-30,1982.0,11.0,1.0
41,1251235,Lee Hong-gi,"Seongnam, Gyeonggi, South Korea",,2.0,Acting,2.151,https://image.tmdb.org/t/p/original/7XLhranbxfksAp7SkLp9JD4h0ws.jpg,1990-03-02,1990.0,3.0,4.0
42,1901522,Kim Hyung-min,,,2.0,Acting,1.4,https://image.tmdb.org/t/p/original/xuaagQDPelJv1nB8MrCaDyQcPz9.jpg,1983-09-05,1983.0,9.0,0.0
43,105412,Lim Chae-mu,"Hampyeong, Jeollanam-do, South Korea",,2.0,Acting,0.78,https://image.tmdb.org/t/p/original/15ZcnU5XPqvQ6G1wu8C6eBINbIi.jpg,1949-09-02,1949.0,9.0,4.0
44,1654414,Lee Soo-min,"Ulsan, South Korea",,1.0,Acting,2.387,https://image.tmdb.org/t/p/original/uokhDYwmeul0H909rOA9fzC1uTl.jpg,2001-07-01,2001.0,7.0,6.0
45,1798499,Oh Seung Ah,"Seoul, South Korea",,1.0,Acting,1.547,https://image.tmdb.org/t/p/original/7rxEAXMSilDE60YSy54YRCToLjX.jpg,1988-09-13,1988.0,9.0,1.0
46,945428,Ju Jin-mo,"Seoul, South Korea",,2.0,Acting,2.832,https://image.tmdb.org/t/p/original/1qTItiktKLOBRX00xIqx8GO0TXk.jpg,1958-02-26,1958.0,2.0,2.0
47,2159886,Lee Yun-hui,,,2.0,Acting,0.882,,1960-01-28,1960.0,1.0,3.0
48,3029687,Dawon,,,2.0,Acting,0.6,https://image.tmdb.org/t/p/original/nAdqwJHroJ4lsy7h9HDIGKpe0ns.jpg,1995-07-24,1995.0,7.0,0.0
49,1015873,Son Hyun-joo,"Seoul, South Korea",,2.0,Acting,2.653,https://image.tmdb.org/t/p/original/v4uRXAf6Vq2rsgdgcyQeEL3qnf1.jpg,1965-06-24,1965.0,6.0,3.0
50,1093223,Lee Bo-hee,,,1.0,Acting,1.733,https://image.tmdb.org/t/p/original/stLqdEGU5j1RVPazK6LNEBl2VR4.jpg,1959-05-25,1959.0,5.0,0.0
51,587675,Yoo Yeon-seok,"Seoul, South Korea",,2.0,Acting,7.622,https://image.tmdb.org/t/p/original/mER9G7T2ObjAshrASI5rVPUeYaB.jpg,1984-04-11,1984.0,4.0,2.0
52,1574598,Baekhyun,"Bucheon, Gyeonggi, South Korea",,2.0,Acting,2.959,https://image.tmdb.org/t/p/original/rQ61119kTsZKmaDP5RKyoF8U6VU.jpg,1992-05-06,1992.0,5.0,2.0
53,2056748,Kang Yu-mi,"Gwangju, Gyeonggi, South Korea",,1.0,Acting,0.84,https://image.tmdb.org/t/p/original/erRynCJv8syE7DrCU1Rv5pTUcNu.jpg,1983-05-17,1983.0,5.0,1.0
54,1547199,Hong Jin-young,South Korea,,1.0,Acting,4.046,https://image.tmdb.org/t/p/original/bKZhajn2dQ4xZj6vz2lXQoJNXe1.jpg,1985-08-09,1985.0,8.0,4.0
55,109060,Kang Shin-il,South Korea,,2.0,Acting,1.535,https://image.tmdb.org/t/p/original/iQhXXV8Wsv2ZHifZqaIm1fJsW7F.jpg,1960-11-26,1960.0,11.0,5.0
56,2697147,Kim Hye-hwa,,,,Acting,1.22,https://image.tmdb.org/t/p/original/pCwGRkimaHXcv7MOn20cgJrUCAU.jpg,,,,
57,77281,Yoon Soy,"Seoul, South Korea",,1.0,Acting,3.924,https://image.tmdb.org/t/p/original/eBY3aIO9eFyl2fG5Q4ahZravHV9.jpg,1985-01-05,1985.0,1.0,5.0
58,84788,Kim Moo-yul,"Seoul, South Korea",,2.0,Acting,5.069,https://image.tmdb.org/t/p/original/7SoxNZ826OzxV7WBplJWud8WhOr.jpg,1982-05-22,1982.0,5.0,5.0
59,3038166,Lim Sung-kyun,,,2.0,Acting,0.6,,1996-03-20,1996.0,3.0,2.0
60,1713025,Jang Dong-yoon,"Daegu, South Korea",,2.0,Acting,6.933,https://image.tmdb.org/t/p/original/OuICJebfAG2tZdWgJn97eq7jhK.jpg,1992-07-12,1992.0,7.0,6.0
