,tmdb_id,name,cast_ids,genres_ids,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,networks_ids,airing_date_dt,year,month,weekday
0,208249,Game of Witches,"582555, 2117665, 1066220","18, 80, 9648",1.0,29.0,30.0,"Yu Kyung is a successful woman who is proficient enough to become an executive director of Chunha Group when she started as a secretary. She recently found out her daughter is alive, so she plans to get her back and take her revenge. Meanwhile, Hye Soo is a strong girl who faces challenges head-on. She has a daughter with Ji Ho, and she would do anything for her. However, she gets tragically betrayed by Ji Ho, the love of her life, over power and money. How will those two mothers end their fierce revenge?",414.151,,,25.0,97,2022-10-11,2022.0,10.0,1.0
1,99966,All of Us Are Dead,"2125084, 1493898, 2185341, 2074587, 2402531, 1985557, 79577, 1916075, 1572347","10759, 18, 10765",2.0,12.0,65.0,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,398.111,8.421,2750.0,,213,2022-01-28,2022.0,1.0,4.0
2,112888,True Beauty,"1252016, 1604826, 2333298, 2175208, 1108037, 1872629, 2158882, 1676563, 2992404, 1985543, 3115918, 3129872, 2064247, 1998163","35, 18",1.0,16.0,75.0,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",396.708,8.524,1156.0,,,2020-12-09,2020.0,12.0,2.0
3,93405,Squid Game,"73249, 1593672, 3194501, 1557181, 1048070, 1918350, 587677, 2965849, 1985557","10759, 9648, 18",2.0,9.0,54.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",323.945,7.835,11835.0,,213,2021-09-17,2021.0,9.0,4.0
4,211174,Vengeance of the Bride,"1568455, 1368061, 1940498, 1233712, 139509, 1798499, 2946951, 3719584, 141153, 2939533, 3719591, 2814163, 938258","18, 9648, 10751",1.0,30.0,40.0,The story of a woman who becomes the daughter-in-law of an enemy for desperate revenge.,302.588,,,26.0,342,2022-10-10,2022.0,10.0,0.0
5,136699,Glitch,"2067860, 1523043, 1418580, 2239782, 150697, 1747532, 181332, 1511024, 3138793, 1605872, 2120094, 2758995, 2878492, 1572347, 2003804, 939133, 2098630, 2840538, 2124185","18, 35, 9648, 10765",1.0,10.0,54.0,A young woman joins forces with a UFO enthusiast to investigate her boyfriend’s sudden disappearance and stumbles into a wild conspiracy.,223.442,7.674,43.0,,213,2022-10-07,2022.0,10.0,4.0
6,112836,Money Heist: Korea - Joint Economic Area,"10112, 28662, 1593672, 1937533, 551682, 1257600, 1692997, 1299252, 1630811, 2286203, 1694435, 147505, 2480883, 1565993, 3603071, 557743, 939133, 64455, 1329984, 125732","10759, 80, 18, 9648",1.0,12.0,,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",202.731,7.886,398.0,7.0,213,2022-06-24,2022.0,6.0,4.0
7,67915,Goblin,"150903, 1067849, 1238592, 1254169, 1398345, 1257661, 1561631, 1566012, 560081","18, 10765",1.0,16.0,77.0,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",160.914,8.711,2361.0,,,2016-12-02,2016.0,12.0,4.0
8,197067,Extraordinary Attorney Woo,"1134684, 1565392, 1648169, 1572347, 2720442, 560070, 1579819, 2839957, 2790041, 2240033","18, 35",1.0,16.0,70.0,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,147.054,8.31,381.0,,"213, 5841",2022-06-29,2022.0,6.0,2.0
9,129473,Young Lady and Gentleman,"1253552, 2752543, 1568455, 1254981, 1487437, 1255877, 141153, 1238554, 1715741, 42795, 3019258, 2275609, 3370738, 3031137, 1348579, 3206699, 1894203, 2413589, 1240217, 1578882","35, 18, 10751",1.0,52.0,70.0,"Lee Young Kook is a widower with three children. He still hasn’t gotten over the death of his wife. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her. Meanwhile, Park Dan Dan has bright and positive personality despite her harsh situation.",128.825,8.125,8.0,,342,2021-09-25,2021.0,9.0,5.0
